placeholder,Title,Date of Trans,Deemed Execution Day,Transaction Code,empty,Amount,Adq or Disp,Price,Shares Owned after Trans,Direct or Indirect Ownershipt,Nature of Ind Ownershipt,position,name_person,ticker
0,Common Stock,07/07/2021,,J(1),,9095,A,$1.3,133319,D,,,PORCELAIN MICHAEL ,AIRI 
0,Common Stock,07/07/2021,,F,,924(1),D,$37.94,39666,D,, Chief Accounting Officer & VP,BROWN GARRARD ,AVID 
0,Class A Common Stock,07/06/2021,,P,,29999,A,$33.77(2),3636147,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
1,Class A Common Stock,07/06/2021,,P,,1333,A,$33.77(2),3637480,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
2,Class A Common Stock,07/06/2021,,P,,24344,A,$34.29(3),3661824,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
3,Class A Common Stock,07/06/2021,,P,,1082,A,$34.29(3),3662906,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
4,Class A Common Stock,07/07/2021,,P,,24604,A,$33.7(4),3687510,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
5,Class A Common Stock,07/07/2021,,P,,736,A,$33.7(4),3688246,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
6,Class A Common Stock,07/07/2021,,P,,12842,A,$34.15(5),3701088,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
7,Class A Common Stock,07/07/2021,,P,,384,A,$34.15(5),3701472,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
8,Class A Common Stock,07/08/2021,,P,,1515,A,$33.91(6),3702987,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
9,Class A Common Stock,07/08/2021,,P,,47,A,$33.91(6),3703034,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
10,Class A Common Stock,07/08/2021,,P,,24003,A,$34.47(7),3727037,I,"By Abdiel Qualified Master Fund, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
11,Class A Common Stock,07/08/2021,,P,,751,A,$34.47(7),3727788,I,"By Abdiel Capital, LP(1)",,"Abdiel Capital Management, LLC ",CRCT 
0,Common Stock,07/06/2021,,M(1),,10000,A,$6.55,31604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
1,Common Stock,07/06/2021,,S(1),,10000,D,$38.83(2),21604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
2,Common Stock,07/07/2021,,M(1),,10000,A,$6.55,31604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
3,Common Stock,07/07/2021,,S(1),,6486,D,$38.17(3),25118,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
4,Common Stock,07/07/2021,,S(1),,3514,D,$39.2(4),21604,D,, Chief Financial Officer,Cohen Chad M ,ADPT 
0,Class 1 Common Stock,07/06/2021,,S,,3151895,D,$11.7294,28367064,I,See footnotes(1)(2),,"BAIN CAPITAL VENTURE INVESTORS, LLC ",BTRS 
0,"Common Stock, par value $0.01 per share",07/06/2021,,P,,"5,882,353(1)",A,$16.0225,5882353,D(2),,,JAB Indulgence B.V. ,DNUT 
1,"Common Stock, par value $0.01 per share",,,,,,,,62142733,I,JAB Indulgence B.V.(3),,JAB Indulgence B.V. ,DNUT 
0,Class C Capital Stock,07/06/2021,,S,,100,D,"$2,568.43(1)",19145101,D,,,Brin Sergey ,GOOG 
1,Class C Capital Stock,07/06/2021,,S,,100,D,"$2,572.25(2)",19145001,D,,,Brin Sergey ,GOOG 
2,Class C Capital Stock,07/06/2021,,S,,655,D,"$2,573.7727(3)",19144346,D,,,Brin Sergey ,GOOG 
3,Class C Capital Stock,07/06/2021,,S,,200,D,"$2,574.86(4)",19144146,D,,,Brin Sergey ,GOOG 
4,Class C Capital Stock,07/06/2021,,S,,200,D,"$2,575.73(5)",19143946,D,,,Brin Sergey ,GOOG 
5,Class C Capital Stock,07/06/2021,,S,,300,D,"$2,576.96(6)",19143646,D,,,Brin Sergey ,GOOG 
6,Class C Capital Stock,07/06/2021,,S,,1050,D,"$2,578.101(7)",19142596,D,,,Brin Sergey ,GOOG 
7,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,579.195(8)",19141996,D,,,Brin Sergey ,GOOG 
8,Class C Capital Stock,07/06/2021,,S,,994,D,"$2,580.28(9)",19141002,D,,,Brin Sergey ,GOOG 
9,Class C Capital Stock,07/06/2021,,S,,1288,D,"$2,581.3717(10)",19139714,D,,,Brin Sergey ,GOOG 
10,Class C Capital Stock,07/06/2021,,S,,803,D,"$2,582.7395(11)",19138911,D,,,Brin Sergey ,GOOG 
11,Class C Capital Stock,07/06/2021,,S,,800,D,"$2,584.1613(12)",19138111,D,,,Brin Sergey ,GOOG 
12,Class C Capital Stock,07/06/2021,,S,,915,D,"$2,585.3444(13)",19137196,D,,,Brin Sergey ,GOOG 
13,Class C Capital Stock,07/06/2021,,S,,300,D,"$2,586.4367(14)",19136896,D,,,Brin Sergey ,GOOG 
14,Class C Capital Stock,07/06/2021,,S,,400,D,"$2,587.46(15)",19136496,D,,,Brin Sergey ,GOOG 
15,Class C Capital Stock,07/06/2021,,S,,1733,D,"$2,588.5207(16)",19134763,D,,,Brin Sergey ,GOOG 
16,Class C Capital Stock,07/06/2021,,S,,430,D,"$2,589.5896(17)",19134333,D,,,Brin Sergey ,GOOG 
17,Class C Capital Stock,07/06/2021,,S,,500,D,"$2,590.4933(18)",19133833,D,,,Brin Sergey ,GOOG 
18,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,591.5628(19)",19133233,D,,,Brin Sergey ,GOOG 
19,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,592.5783(20)",19132633,D,,,Brin Sergey ,GOOG 
20,Class C Capital Stock,07/06/2021,,S,,600,D,"$2,593.6583(21)",19132033,D,,,Brin Sergey ,GOOG 
21,Class C Capital Stock,07/06/2021,,S,,700,D,"$2,594.5743(22)",19131333,D,,,Brin Sergey ,GOOG 
